IDV;IDVP;GC;GCText;IsCalculated
1;2;79.09976480075191;;0
1;3;0;;0
1;4;0.72;;0
1;5;0;;0
1;6;15;;0
1;7;4.110078747677573;;0
1;8;1.734553597154468;;0
1;9;7.129151876372264;;1
1;10;6;;0
1;11;7;;0
1;12;5;;0
1;13;4;;0
1;14;1;;0
1;15;79.09976480075191;;1
1;16;563.9142366498852;;1
1;17;14000;;0
1;18;3.163990592030077;;1
1;19;46.81806451132152;;0
1;20;0;;0
1;21;0;;0
1;22;1;;0
1;23;0;;0
1;24;0;;0
1;26;43;;0
1;27;1.483960496378504;;0
1;28;10.57937975721913;;1
1;29;1;;0
1;31;0;;0
1;32;0;NA;0
1;33;0;;1
1;34;0;;1
1;35;0;;1
1;36;0;;1
1;37;79.09976480075191;;1
1;41;0;;0
1;42;0;;1
2;2;92.9241452377896;;0
2;3;0;;0
2;4;0.72;;0
2;5;0;;0
2;6;14.81037581941684;;0
2;7;4.34110420312639;;0
2;8;1.750412719129119;;0
2;9;7.598724012217313;;1
2;10;6;;0
2;11;7.903301397087177;;0
2;12;5;;0
2;13;4;;0
2;14;1;;0
2;15;92.9241452377896;;1
2;16;706.1049337331609;;1
2;17;14000;;0
2;18;3.716965809511584;;1
2;19;45.2044018627829;;0
2;20;0;;0
2;21;0;;0
2;22;1;;0
2;23;0;;0
2;24;0;;0
2;26;43;;0
2;27;1.478895440927832;;0
2;28;11.23771829853703;;1
2;29;1;;0
2;31;0;;0
2;32;0;NA;0
2;33;0;;1
2;34;0;;1
2;35;0;;1
2;36;0;;1
2;37;92.9241452377896;;1
2;41;0;;0
2;42;0;;1
3;2;93.85178856445596;;0
3;3;0;;0
3;4;0.72;;0
3;5;0;;0
3;6;16;;0
3;7;4.283050694969028;;0
3;8;1.775897656745732;;0
3;9;7.606259692918676;;1
3;10;6;;0
3;11;7;;0
3;12;5;;0
3;13;4;;0
3;14;1;;0
3;15;93.85178856445596;;1
3;16;713.8610764661473;;1
3;17;14000;;0
3;18;3.754071542578238;;1
3;19;46;;0
3;20;0;;0
3;21;0;;0
3;22;3;;0
3;23;0;;0
3;24;0;;0
3;26;43;;0
3;27;1.586458936395226;;0
3;28;12.06701866237364;;1
3;29;1;;0
3;31;0;;0
3;32;0;NA;0
3;33;0;;1
3;34;0;;1
3;35;0;;1
3;36;0;;1
3;37;93.85178856445596;;1
3;41;0;;0
3;42;0;;1
4;2;0;;0
4;3;77.18819071814866;;0
4;4;0.72;;0
4;5;44.97414161740661;;0
4;6;16.24147905923783;;0
4;7;4.152707206640675;;0
4;8;1.776291661426236;;0
4;9;7.376419183500466;;1
4;10;6;;0
4;11;6;;0
4;12;5;;0
4;13;4;;0
4;14;1;;0
4;15;77.18819071814866;;1
4;16;569.3724507530444;;1
4;17;14000;;0
4;18;0;;1
4;19;0;;0
4;20;0;;0
4;21;0;;0
4;22;5;;0
4;23;0;;0
4;24;0;;0
4;26;25;;0
4;27;1.571820525720035;;0
4;28;11.59440707894105;;1
4;29;1;;0
4;31;0;;0
4;32;0;PBP-BEV-LFP;0
4;33;0;;1
4;34;8.638297872340425;;1
4;35;388.5000318439805;;1
4;36;0;;1
4;37;0;;1
4;41;0;;0
4;42;0;;1
5;2;0;;0
5;3;323.6651890034364;;0
5;4;0.96;;0
5;5;74.51676975945018;;0
5;6;18.46391752577319;;0
5;7;4.739219931271477;;0
5;8;1.862721649484536;;0
5;9;8.827847567647995;;1
5;10;6;;0
5;11;7.140893470790378;;0
5;12;5;;0
5;13;4;;0
5;14;1.178694158075601;;0
5;15;323.6651890034364;;1
5;16;3367.843863767615;;1
5;17;20000;;0
5;18;0;;1
5;19;0;;0
5;20;0;;0
5;21;0;;0
