IDSG;DsSG
1;Carroceria
2;Capo e Portas
3;Carenagens e acabamentos diversos.
4;Revestimento Interior
5;Equipamentos de Segurança
6;Bancos e acessórios
7;Vidros
8;Pintura
9;Chassis
10;Barras estruturais complementares
11;Aro (kit)
12;Pneu (kit)
13;Mecanismos de transmissão de força
14;Sistema de direção
15;Freios
16;Suspensão
17;Bateria e Proteção
18;Ar Condicionado e ventilação
19;Iluminação & Sinalização
20;Painel, Instrumentação e Eletrônicos
21;Motor a Combustão
22;Sistema de Arrefecimento
23;Caixa de Câmbio & Embreagem
43;Modulo de Combinação Híbrida (adicional de massa)
24;Sistema elétrico do trem de força
25;Motor de Arranque
26;Tanque e Sistema de Alimentação de Combustível
27;Sistema de Alimentação de Combustível
28;Sistema de Exaustão
29;Motor Elétrico
30;Gerador de Eletricidade
31;Caixa de Transmissão
32;Inversor de Frequência
33;Sistema de Gerenciamento de Eletricidade
34;Carregador de Bateria
35;Sistema de Gerenciamento de Temperatura da Bateria
36;Bateria
37;Fluidos do Sistema
38;Filtros, gaxetas, pastilhas
39;Pneu
40;Células de Combustível
41;Sistema de Alimentação e Balanceamento (BoP)
42;Tanque de Hidrogênio
