IDMPV;IDSG;Beta;GCR;utGCR;MR;fLM;Reference
1;1;0.352159062004777;12;m2*m (*7);379.022764311947;1;6
1;2;0.887350932562159;9;m2 (*1);39.340046209383;1;7
1;3;0.6674798644249653;14.592;m2*m (*7);9.97903;1;GREET
1;4;0.6674798644249653;14.592;m2*m (*7);34.0194;1;GREET
1;5;1;10;un (*3);9.9;1;8
1;6;1;5;un (*4);54.3742;1;GREET
1;7;0.6674798644249653;14.592;m2*m (*7);45.586033;1;GREET
1;8;0.6674798644249653;14.592;m2*m (*7);12.3;1;10
1;9;0.352159062004777;14.592;m2*m (*7);39.9161;1;GREET
1;10;1.98509888017405;9;m2 (*1);38.2408239003859;1;12
1;11;3.16726961293431;16;inchs;53.3534588642263;1;13
1;12;1.5689783243748;16;inchs;45.0710990203241;1;14
1;13;0.6674798644249653;912;KW*m2*fT (*5);73.9356;1;GREET
1;14;0.6674798644249653;912;KW*m2*fT (*5);22.226;1;GREET
1;15;0.315464907293406;810;KW*m2*fT (*5);43.9328800142605;1;15
1;16;0.139422665656085;810;KW*m2*fT (*5);20.3055621020499;1;16
1;17;0.835001760957253;0.84;kWh;17.4003533467835;1;GREET
1;18;0.6674798644249653;20000;BTU;19.9581;1;GREET
1;19;0.6674798644249653;14.592;m2*m (*7);9.97903;1;GREET
1;20;0.6674798644249653;5;nível (1 a 5);54.4311;1;GREET
1;21;0.611897536037189;100;kW;106.589910428183;1;2
1;22;0.254847209645442;100;kW;6.7282379582409;1;19
1;23;0.684813703313639;90;kW;61.8258311253497;1;18
1;43;0.684813703313639;110;kW;34;1;18
1;24;0.6674798644249653;100;kW;9.97903;1;GREET
1;25;0.861408050468015;1.2;kW;3.22087587068375;1;3
1;26;0.8;50;liters;0;1;GREET
1;27;0.164053828433577;100;kW;9.29447334390829;1;4
1;28;0.594010495481814;80;kW;52.7398774081267;1;GREET
1;29;1.36461273854268;100;kW;32.3555070402382;1;1
1;30;0.887190062217864;100;kW;40.9578415010313;1;20
1;31;0.684813703313639;150;kW;32.73418871479785;1;18
1;32;0.489141989284876;100;kW;23.6367561478899;1;21
1;33;0.6674798644249653;100;kW;9.97903;1;GREET
1;34;1.02078507613706;6.6;kW;6.81005437944875;1;22
1;35;1;100;kg;7.16;1;GREET
1;36;0.964567375071638;60;kWh;355.779542635585;1;24
1;37;1;35;kg;35;1;GREET
1;38;1;1;kW;0;1;incluso nos respectivos equipamentos e sistemas (não considera reposição)
1;39;1;1;kW;0;1;não considera reposição
1;40;0.6674798644249653;66;kW;102.512;1;GREET
1;41;0.6674798644249653;66;kW;247.661;1;GREET
1;42;0.6674798644249653;5;kg;87.5;1;23
