IDM;IDEFV;EF;EFnotes
1;G22;2.451162880125599;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
2;G22;0.901266611067261;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
3;G22;0.9337018170795512;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
4;G22;11.93820102727203;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
4a;G22;11.93820102727203;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
4b;G22;4.770315311246708;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
5;G22;3.223431345207947;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
6;G22;4.490102028492053;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
7;G22;2.726494620169717;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
8;G22;32.01940080416204;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
9;G22;1.743008739028448;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
10;G22;3.612813830765568;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
11;G22;3.904796408238677;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
12;G22;12.70581627653454;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
13;G22;18.67908857945221;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
14;G22;4.756267694549599;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
15;G22;12.60640595411699;"GREET 2022 (Argonne National Laboratory). Valor extraido da aba 'Emission Factors GREET and BR' do LCA_LV_i3ET, coluna G22; nao e o arquivo GREET original (dado de entrada processado - ver Documento 1, secao 18.3)."
