IDBMd;IDEFV;IDVPT;IDBTe;RefRange;RefEnergy;RefPower;RefWeight;RefGHGIDBMd;EnergyDensity;PowerDensity;GravimetricEnergyDensity;GravimetricPowerDensity;GravimetricGHGDensity;EnergyGHGDensity;GHGMethod;DsBMd
NA;;;;0;0;0;0;0;0;0;0;0;0;0;none;blblblbl
G22-BEV200-NMC111;G22;BEV;NMC111;200;70.28154931424099;;520.4113240595408;5562.753083970024;7.404664938911513;;0.13505;;10.68914688592284;79.14955117306806;composition;blblblbl
G22-BEV200-LFP;G22;BEV;LFP;200;70.28154931424099;;609.9240589624316;4809.47337248379;8.678295582747548;;0.11523;;7.885364254470294;68.43152177792497;composition;blblblbl
G22-HEV-NMC111;G22;HEV;NMC111;;2;40;24.24374662860398;190.9055514464751;12.12187331430199;0.6060936657150996;0.0824955;1.64991;7.874424459676343;95.45277572323754;composition;blblblbl
G22-PHEV50-Ni-MH;G22;PHEV;Ni-MH;50;17.57038732856025;;331.5167420483066;2934.231280559389;18.86792452830189;;0.053;;8.850929405344576;166.9986680253694;composition;blblblbl
G22-SPHEV20-LFP;G22;PHEV;LFP;20;7.028154931424099;;81.88459666112198;591.8823629166055;11.65093790050099;;0.08583;;7.228250330963963;84.21589573533686;composition;blblblbl
G23-BEV150-NMC111;G23;BEV;NMC111;150;52.40470836998949;;344.1112901043371;4013.655251786209;6.566419331538512;;0.15229;;11.663829020458;76.58959235969533;composition;blblblbl
G23-BEV200-NMC111;G23;BEV;NMC111;200;69.87294449331932;;435.8070510404748;5205.120774765769;6.237135907191417;;0.16033;;11.94363597913048;74.49408082785806;composition;blblblbl
G23-HEV-NMC111;G23;HEV;NMC111;;2;40;16.81958472445315;137.0977739639247;8.409792362226577;0.4204896181113288;0.118909;2.37818;8.151079602138157;68.54888698196233;composition;blblblbl
G23-PHEV50-NMC111;G23;PHEV;NMC111;50;17.57038732856025;;102.5948109807325;1322.33889952837;5.839075090505665;;0.17126;;12.88894522917643;75.25951903057592;composition;blblblbl
PBP-BEV-LFP;;BEV;LFP;;;;;;8.638297872340425;;0.1157635467980296;;11.17856;;gravimetric;"Projeto do Berco ao Portao; emissoes por intensidade de carbono massica"
PBP-HEV-NMC811;;HEV;NMC811;;;;;;6.72340425531915;0.3865957446808511;0.1487341772151898;2.586681342872867;15.5975;;gravimetric;"Projeto do Berco ao Portao; emissoes por intensidade de carbono massica"
