IDBMd;IDGG;IDM;BMshareGG
G22-BEV200-NMC111;Iprinc;41;0.214021402140214
G22-BEV200-NMC111;Iprinc;22;0.1228122812281228
G22-BEV200-NMC111;Iprinc;43;0
G22-BEV200-NMC111;Iprinc;44;0.0069006900690069
G22-BEV200-NMC111;Iprinc;6;0.0775077507750775
G22-BEV200-NMC111;Iprinc;4;0.1305130513051305
G22-BEV200-NMC111;Iprinc;4a;0
G22-BEV200-NMC111;Iprinc;4b;0
G22-BEV200-NMC111;Iprinc;5;0
G22-BEV200-NMC111;Iprinc;48;0.008000800080008
G22-BEV200-NMC111;Iprinc;49;0.0224022402240224
G22-BEV200-NMC111;Iprinc;50;0.0224022402240224
G22-BEV200-NMC111;Iprinc;37;0.006800680068006801
G22-BEV200-NMC111;Iprinc;52;0
G22-BEV200-NMC111;Iprinc;10;0.0106010601060106
G22-BEV200-NMC111;Iprinc;26;0.0025002500250025
G22-BEV200-NMC111;Iprinc;1;0.2847284728472848
G22-BEV200-NMC111;Iprinc;2;0.0484048404840484
G22-BEV200-NMC111;Iprinc;35;0
G22-BEV200-NMC111;Iprinc;58;0.0045004500450045
G22-BEV200-NMC111;Iprinc;59;0.0264026402640264
G22-BEV200-NMC111;Iprinc;60;0.01150115011501157
G22-BEV200-NMC111;Iprinc;3;0
G22-BEV200-NMC111;Iprinc;8;0
G22-BEV200-NMC111;Iprinc;66;0
G22-BEV200-NMC111;Iprinc;15;0
G22-BEV200-NMC111;Iprinc;68;0
G22-BEV200-NMC111;Iprinc;11;0
G22-BEV200-NMC111;Iprinc;85;0
G22-BEV200-NMC111;Iprinc;86;0
G22-BEV200-NMC111;Iprinc;87;0
G22-BEV200-NMC111;Iprinc;88;0
G22-BEV200-NMC111;Iprinc;89;0
G22-BEV200-NMC111;Iprinc;90;0
G22-BEV200-NMC111;Iprinc;91;0
G22-BEV200-NMC111;Iprinc;92;0.214
G22-BEV200-NMC111;Iprinc;93;0
G22-BEV200-NMC111;Iprinc;94;0
G22-BEV200-NMC111;Iprinc;95;0
G22-BEV200-NMC111;Iprinc;96;0
G22-BEV200-NMC111;Iprinc;97;0
G22-BEV200-NMC111;Iprinc;98;0
G22-BEV200-NMC111;Iprinc;99;0
G22-BEV200-NMC111;Iprinc;100;0
G22-BEV200-LFP;Iprinc;41;0.2225222522252225
G22-BEV200-LFP;Iprinc;22;0.1162116211621162
G22-BEV200-LFP;Iprinc;43;0
G22-BEV200-LFP;Iprinc;44;0.0069006900690069
G22-BEV200-LFP;Iprinc;6;0.0858085808580858
G22-BEV200-LFP;Iprinc;4;0.1327132713271327
G22-BEV200-LFP;Iprinc;4a;0
G22-BEV200-LFP;Iprinc;4b;0
G22-BEV200-LFP;Iprinc;5;0
G22-BEV200-LFP;Iprinc;48;0.009400940094009401
G22-BEV200-LFP;Iprinc;49;0.0263026302630263
G22-BEV200-LFP;Iprinc;50;0.0263026302630263
G22-BEV200-LFP;Iprinc;37;0.008800880088008802
G22-BEV200-LFP;Iprinc;52;0
G22-BEV200-LFP;Iprinc;10;0.009000900090009
G22-BEV200-LFP;Iprinc;26;0.0027002700270027
G22-BEV200-LFP;Iprinc;1;0.2655265526552655
G22-BEV200-LFP;Iprinc;2;0.0477047704770477
G22-BEV200-LFP;Iprinc;35;0
G22-BEV200-LFP;Iprinc;58;0.0042004200420042
G22-BEV200-LFP;Iprinc;59;0.026002600260026
G22-BEV200-LFP;Iprinc;60;0.00990099009900981
G22-BEV200-LFP;Iprinc;3;0
G22-BEV200-LFP;Iprinc;8;0
G22-BEV200-LFP;Iprinc;66;0
G22-BEV200-LFP;Iprinc;15;0
G22-BEV200-LFP;Iprinc;68;0
G22-BEV200-LFP;Iprinc;11;0
G22-BEV200-LFP;Iprinc;85;0
G22-BEV200-LFP;Iprinc;86;0
G22-BEV200-LFP;Iprinc;87;0.2225
G22-BEV200-LFP;Iprinc;88;0
G22-BEV200-LFP;Iprinc;89;0
G22-BEV200-LFP;Iprinc;90;0
G22-BEV200-LFP;Iprinc;91;0
G22-BEV200-LFP;Iprinc;92;0
G22-BEV200-LFP;Iprinc;93;0
G22-BEV200-LFP;Iprinc;94;0
G22-BEV200-LFP;Iprinc;95;0
G22-BEV200-LFP;Iprinc;96;0
G22-BEV200-LFP;Iprinc;97;0
G22-BEV200-LFP;Iprinc;98;0
G22-BEV200-LFP;Iprinc;99;0
G22-BEV200-LFP;Iprinc;100;0
G22-HEV-NMC111;Iprinc;41;0.1029
G22-HEV-NMC111;Iprinc;22;0.0627
G22-HEV-NMC111;Iprinc;43;0
G22-HEV-NMC111;Iprinc;44;0.0034
G22-HEV-NMC111;Iprinc;6;0.1386
G22-HEV-NMC111;Iprinc;4;0.1718
G22-HEV-NMC111;Iprinc;4a;0
G22-HEV-NMC111;Iprinc;4b;0
G22-HEV-NMC111;Iprinc;5;0
G22-HEV-NMC111;Iprinc;48;0.007
G22-HEV-NMC111;Iprinc;49;0.0196
G22-HEV-NMC111;Iprinc;50;0.0196
G22-HEV-NMC111;Iprinc;37;0.0089
G22-HEV-NMC111;Iprinc;52;0
G22-HEV-NMC111;Iprinc;10;0.0074
G22-HEV-NMC111;Iprinc;26;0.0025
G22-HEV-NMC111;Iprinc;1;0.3145
G22-HEV-NMC111;Iprinc;2;0.0413
G22-HEV-NMC111;Iprinc;35;0.0014
G22-HEV-NMC111;Iprinc;58;0.005
G22-HEV-NMC111;Iprinc;59;0.0366
G22-HEV-NMC111;Iprinc;60;0.05680000000000018
G22-HEV-NMC111;Iprinc;3;0
G22-HEV-NMC111;Iprinc;8;0
G22-HEV-NMC111;Iprinc;66;0
G22-HEV-NMC111;Iprinc;15;0
G22-HEV-NMC111;Iprinc;68;0
G22-HEV-NMC111;Iprinc;11;0
G22-HEV-NMC111;Iprinc;85;0
G22-HEV-NMC111;Iprinc;86;0
G22-HEV-NMC111;Iprinc;87;0
G22-HEV-NMC111;Iprinc;88;0
G22-HEV-NMC111;Iprinc;89;0
G22-HEV-NMC111;Iprinc;90;0
G22-HEV-NMC111;Iprinc;91;0
G22-HEV-NMC111;Iprinc;92;0.1029
G22-HEV-NMC111;Iprinc;93;0
G22-HEV-NMC111;Iprinc;94;0
G22-HEV-NMC111;Iprinc;95;0
G22-HEV-NMC111;Iprinc;96;0
G22-HEV-NMC111;Iprinc;97;0
G22-HEV-NMC111;Iprinc;98;0
G22-HEV-NMC111;Iprinc;99;0
G22-HEV-NMC111;Iprinc;100;0
G22-PHEV50-Ni-MH;Iprinc;41;0
G22-PHEV50-Ni-MH;Iprinc;22;0
G22-PHEV50-Ni-MH;Iprinc;43;0
G22-PHEV50-Ni-MH;Iprinc;44;0
G22-PHEV50-Ni-MH;Iprinc;4;0
