IDAPV;IDAP;IDFuel;EnergyPerVehicle;FuelShare
A-G22;1;ResidOil;302.801;0
A-G22;1;Diesel;302.801;0
A-G22;1;NaturalGas;302.801;0
A-G22;1;Coal;302.801;0
A-G22;1;Electricity;302.801;1
A-G22;2;ResidOil;2910.8991;0
A-G22;2;Diesel;2910.8991;0
A-G22;2;NaturalGas;2910.8991;0.834
A-G22;2;Coal;2910.8991;0
A-G22;2;Electricity;2910.8991;0.166
A-G22;3;ResidOil;1044.5053;0
A-G22;3;Diesel;1044.5053;0
A-G22;3;NaturalGas;1044.5053;0
A-G22;3;Coal;1044.5053;0
A-G22;3;Electricity;1044.5053;1
A-G22;4;ResidOil;3146.1765;0
A-G22;4;Diesel;3146.1765;0
A-G22;4;NaturalGas;3146.1765;1
A-G22;4;Coal;3146.1765;0
A-G22;4;Electricity;3146.1765;0
A-G22;5;ResidOil;216.2864;0
A-G22;5;Diesel;216.2864;0
A-G22;5;NaturalGas;216.2864;0
A-G22;5;Coal;216.2864;0
A-G22;5;Electricity;216.2864;1
A-G22;6;ResidOil;288.0302;0
A-G22;6;Diesel;288.0302;0
A-G22;6;NaturalGas;288.0302;0
A-G22;6;Coal;288.0302;0
A-G22;6;Electricity;288.0302;1
A-G22;7;ResidOil;431.5178;0
A-G22;7;Diesel;431.5178;0
A-G22;7;NaturalGas;431.5178;0
A-G22;7;Coal;431.5178;0
A-G22;7;Electricity;431.5178;1
A-G23;1;ResidOil;302.801;0
A-G23;1;Diesel;302.801;0
A-G23;1;NaturalGas;302.801;0
A-G23;1;Coal;302.801;0
A-G23;1;Electricity;302.801;1
A-G23;2;ResidOil;2910.8991;0
A-G23;2;Diesel;2910.8991;0
A-G23;2;NaturalGas;2910.8991;0.834
A-G23;2;Coal;2910.8991;0
A-G23;2;Electricity;2910.8991;0.166
A-G23;3;ResidOil;1044.5053;0
A-G23;3;Diesel;1044.5053;0
A-G23;3;NaturalGas;1044.5053;0
A-G23;3;Coal;1044.5053;0
A-G23;3;Electricity;1044.5053;1
A-G23;4;ResidOil;3146.1765;0
A-G23;4;Diesel;3146.1765;0
A-G23;4;NaturalGas;3146.1765;1
A-G23;4;Coal;3146.1765;0
A-G23;4;Electricity;3146.1765;0
A-G23;5;ResidOil;216.2864;0
A-G23;5;Diesel;216.2864;0
A-G23;5;NaturalGas;216.2864;0
A-G23;5;Coal;216.2864;0
A-G23;5;Electricity;216.2864;1
A-G23;6;ResidOil;288.0302;0
A-G23;6;Diesel;288.0302;0
A-G23;6;NaturalGas;288.0302;0
A-G23;6;Coal;288.0302;0
A-G23;6;Electricity;288.0302;1
A-G23;7;ResidOil;431.5178;0
A-G23;7;Diesel;431.5178;0
A-G23;7;NaturalGas;431.5178;0
A-G23;7;Coal;431.5178;0
A-G23;7;Electricity;431.5178;1
